Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Essandoh, Pius Ato","M.B., Ch.B (KNUST-SMS)",La General Hospital,
"Essel, Ama Kwansima","M.B., Ch.B (U.G.M.S)",,"P. O. BOX 13079, Accra"
"Essel, Joshua Kojo","M.B., Ch.B (U.G.M.S)",Rejosh Women Clinic,"P. O. Box KT 144, Kotobabi, Accra."
"Essel, Kojo Cobba","M.B., Ch.B (U.G.M.S)",Health Essentials Ltd.,"P. O. Box 13019, Accra"
"Essel, Maame Yaa Pomaa Nhyira","M.B., Ch.B (KNUST-SMS)",,"P. O. Box CT 5040, Accra"
"Essel, Nana Owusu Mensah","M.B., Ch.B (KNUST-SMS)",Garden City Hospital,
"Essien, Michael","M.B., Ch.B (UGMS)",Narh-Bita Hospital,"P. O. Box 1061, Tema"
"Essilfie, Marie-Stella","M.B., Ch.B (UGMS)",Accra Medical Centre,"P. O. Box 5332, Cantonments, Accra"
"Essilfie, William","M.B., Ch.B (U.G.M.S)",Sakumono Comm. Hospital,"P. O. Box OS 1304, Osu, Accra"
"Essoun, Samuel Anane","M.B., Ch.B (UGMS),M.G.C.S (GCPS),F.G.C.S. (GCPS)",",,",
"Essuman, Akye","M.B., Ch.B (KNUST-SMS),F.W.A.C.P (WACP),F.G.C.P, Family Medicine (GCPS)",Dept. of Comm. Health,
"Essuman, Vera Adobea","M.B., Ch.B (U.G.M.S),F.W.A.C.S, Ophthalmology (WACS),F.G.C.S , Ophthslmology (GCPS)",Dept. of Surgery,"P. O. Box 353, Korle-Bu, Accra"
"Etuaful, Samuel Nyarko","M.B., Ch.B (KNUST-SMS),M.P.H (Boston Univ, USA)",Cross Care Clinic,"P. O. Box 20, Guaso B/A"
"Etwire, Victor Kobby","M.B., Ch.B (U.G.M.S),F.W.A.C.S. (WACS)",Dept. of Child Health,"P. O. Box 77, Korle-Bu, Accra"
"Evans-Appiah, Ama A.","M.D (Kharkov State Med. Inst., Ukraine)",37 Military Hospital,
"Ewudzi-Acquah, Elias","M.B., Ch.B (U.G.M.S)",University of Cape Coast Hospital,
"Ewusi-Mensah, Kwesi","M.D. (Univ. of Zagreb, Croatia),Dip. In Obs./Gyn. (Univ. of Dublin)",Sanford Clinic,"P. O. Box AN 17058, Adenta-Accra"
"Ewusi, Raymond Kwablah","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Eyeson, Kodwo Ndzibah","M.B., Ch.B (KNUST-SMS)",Dept. of Medicine,"P. O. Box KS 1934, Kumasi"
"Eyison, Joe",B.D.S (U.G.D.S),College of Health,"P. O. Box 9, Kintampo"
"Ezaldein, Fatema Alzahraa Eid","M.B.Ch. B (Mansura University),Dip. In Paediatrics (Zagazig University)",Lakeside Estates,
"Farhat, Boutrous Fayez","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box 913, Kumasi"
"Farren, Rosemary Christine","M.D (Memorial Univ. of Newfoundland, Canada)",Donkorkrom Presby Hospital,"P. O. Box 10, Donkorkrom"
"Fenu, Benjamin Sena","M.B., Ch.B. (U.G.M.S)",Korle Bu Teaching Hospital,
"Fenyi, Barbara","M.B., Ch.B (U.G.M.S)",Holy Child Clinic,"P. O. Box 1205, Takoradi"
"Fenyi, Seth","M.B., Ch.B (U.G.M.S)",Jemima Crentsil Hospital,"P. O. Box 1205, Takoradi"
"Fiadjoe, Sefakor Julienne","M.B., Ch.B (U.G.-S.M.D)",Korle Bu Teaching Hospital,
"Fiador, Kate","M.B., ChB (KNUST-SMS)",Dept. Of Haematology,"P. O. Box 77, Korle Bu"
"Fiadoyor, Seth","M.D. (Lvov State Med. Inst.),PhD (Filatov Eye Inst. Odessa, Ukraine)",VRA Hospital,"P. O. Box 77, Akosombo"
"Fiadzomor, Sheba Afi Mansa",M. D (Lugansk State Med. Univ.),,"P. O. Box 001, Sampa Valley- Weija"
"Fiagbe, Delali Kudzo","M.B., Ch.B (U.G.M.S)",Accra Psychiatric Hospital,
"Fiakpornoo, Martina Lebene","M.B., Ch.B (UGMS)",Dept. of Medicine K.B.T.H. P,"P. O. Box KB 77, Korle Bu, Accra"
"Fiale III, George Marion",M.D. (American Univ. of the Carribean),Baptist Medical Centre,"P. O. Box 50, Nalerigu – N/R"
"Fianko, Yaw Oduro","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box AN 11258 Accra,"
"Fianoo Dzinyela, Priscilla Mawutor",M.B. Ch.B (U.C.C.-S.M.S),,
"Fiattor, Timothy Jnr.","M. B., Ch.B (KNUST-SMS)",,
"Fiattor, Timothy Junior","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 520, Ho"
"Fiawoo, Dela Deme","M.B., Ch.B (U.G.M.S)",,
"Fiawoyife, Janice Imanokey","M.B., Ch.B (U.G.M.S)",DTD Hos,
"Fiddeen, Fusseini","M.B., Ch.B. (U.G.M.S.)",Catholic Hospital,"P. O. Box 16, Asankragwa"
"Fiebor, Redeemer Seyram","M.B., Ch.B (UG-SMD)",Royal Specialist Hospital,"P. O. Box MA 236, Ho."
"Fiifi-Yankson, Papa Kwesi","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,
"Filson, Albert",B.D.S (U.G.D.S),Tema Polyclinic,
"Fiscian, Henrietta","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP)",Dept of Medicine,"P. O. Box 473, Accra."
"Fleischer-Djoleto, Charles","M.B., Ch.B (U.G.M.S),M.P.H (Hebrew Univ.)",Family Health Division,
"Fleischer, Patience","M.B., Ch.B (KNUST-SMS),Dip. in Ophthalmology (WACS)",Kumasi South Hospital,"P. O. Box 1908,"
"Fletcher, Clement","M. B., Ch.B (KNUST-SMS)",,
"Fofie, Chris Opoku","M.D. (Higher Inst. of Med. Sciences, Cuba),Sp. Cert. Obst./Gynae (Univ. of Santiago, Cuba)",Ridge Hospital,"P. O. Box 473, Accra"
"Fofie, Solomon","M.B., Ch.B ((KNUST-SMS)",Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani"
"Fokuoh, Forster Nketiah","M.B., Ch.B (U.G.M.S),M.G.C.P (GCPS)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra"
"Foleson, Benjamin","M.D. (Univ. of Bonn),D.T.M & H (Univ. of Liverpool)",Glico Health Co. Ltd. P,"P. O. Box 8317, Accra-North"
"Foli, Paul Mensah","M.B., Ch.B. (U.G.M.S)",St. Bernard Family Hospital,"P. O. Box CO 2798, Tema"
"Foli, Robert Mawuli",M.D. (Lugansk State Med. Univ.),Bawku Presby Hospital,"P. O. Box 45, Bawku"
"Folson, Aba Ankomaba","M.B., Ch.B (U.G.M.S),M.G.C.P (GCPS)",Ridge Hospital,"P. O. Box 473, Accra."
"Fordjour, James Boakye","M.B., Ch.B (U.G.M.S),Dip. Obst/Gynae (Univ. of Dublin, Ireland)",BA Regional Hospital,"P. O. Box 27, Sunyani"
"Fordjuor, Eric","M.B., Ch.B (U.G.M.S),Dip. In Anaesthesia (WACS)",Cocoa Clinic,"P. O. Box 933, Accra"
"Fordjuor, Gladys","M.B., Ch.B (U.G.M.S),F.W.A.C.S(Ophthalmology) (WACS)",,"P. O. Box KB 596, Korle-Bu, Accra"
"Forjoe, Aramansah Nteshie","M.B., Ch.B (U.G.M.S)",Barnor Memorial Hospital,"P. O. Box GP 22460, Accra"
"Forjuor, Samuel Nana","M.B., Ch.B (KNUST-SMS),M.P.H (Harvard University),Ph.D. (John Hopkins University)",Scott & White Health Care,"P. O. Box 680, Kumasi"
"Forkah, Shirley","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Kumasi South Hospital,
"Forson, Charles Kwame","M.B., Ch.B (U.G.M.S),M.G.C.P.,Radiology (G.C.P.S.)",Cocoa Clinic,"P. O. Box 933, Accra"
"Forson, Ebenezer",M.D. (Kharkov Nat’l Med Univ.),St. Joseph Hosp,"P. O. Box 33, Nkwanta, Volta Region."
"Forson, Gyanuah Audrey","M.B., Ch.B (U.G.M.S),",Korle Bu Teaching Hospital,
"Forson, Lantana Nene",B.D.S (U.G.D.S),Ussher Polyclinic,
"Forson, Mark","M.B., Ch.B (KNUST-SMS)",,"P. O. Box 37, Nkenkasu"
"Forson, Maysel Stella","M.B., Ch.B (KNUST-SMS),",Dept. of Accidents & Emergency,"P. O. Box 1934,"
"Forson, Paa Kobina","M.B., Ch.B (KNUST-SMS)",St. Patrick’s Hospital,
"Forson, Richard",M.D. (Kharkov State Med. Inst.),Sogakope District Hospital,
"Forson, Theophylia Ewurekua","M.B., Ch.B (KNUST-SMS)",Police Hospital,
"Fosu, Abena Darkoa","M.B., Ch.B. (U.G.-S.M.D.)",Korle-Bu Teaching Hospital,
"Fosu, Angela Etornam","M.B., Ch.B (KNUST-SMS)",Pentecost Hospital,"P. O. Box 20790, Accra"
"Fosu, Ernest","M.B., Ch.B (U.G.M.S),",Maamobi General Hospital,"P. O. Box CT 10315, Cantonments"
"Fosu, Peter Kwabena","M.B., Ch.B (KNUST-SMS)",Danpon Medical Centre,
"France, Hercules Odarkwei",M.D. (Kuban State Med. Inst),St. Joe Specialist Hospital,
"Fredua-Agyeman Boakye, O","M.B., Ch.B (U.G.M.S)",Nationa. Cardio Centre,"P. O. KB 77, Korle Bu, Accra"
"Fredua-Agyeman, Akosua","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Fredua-Agyeman, Nana Yaa","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box CT 2488, Cantonments"
"Freeman, Felicia Birch","M.B., Ch. B. (U.G.M.S)",Dept. of Emergency Medicine,
"Frempomaa-Frempong, Maame","M.B., Ch.B (UG-SMD)",,"P. O. Box 6408, Cantonments"
"Frempong-Boateng, Edward","M.B., Ch.B (KNUST-SMS)",Eastern Regional Hospital,"P. O. Box KF 201, Koforidua"
"Frempong, Angela Durowaa","M.B., Ch.B (KNUST-SMS)",KATH,"P. O. Box Ks 4548, Kumasi"
"Frempong, Felix Kwabena","M.B., Ch.B (Univ. of Edinburgh),D.R.C.O.G (RCOG, UK),D.C.H (RCPG, UK)",Odorna Clinic,"P. O. Box AN 16623, Accra-North"
"Frempong, Margaret Otemaa","M.B., Ch.B (KNUST-SMS)",Kumasi South Hospital,"P. O. Box 1908, Kumasi."
"Frempong, Mark Eric","M.B., Ch.B (KNUST-SMS),MSc. In Inst. Health (Charite Med. Sch., Berlin)",Univ. Hospital,"P. O. Box LG 79, Legon, Accra"
"Frempong, Prince Kofi","M.B., Ch.B. (UG-SMD)",Suhum Gov’t Hospital,
"Frempong, Ransford","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Frempong, William Okyere","M.B., Ch.B (U.G.M.S)",Lekma Polyclinic,
"Friko, Ibrahim Soale","M.B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Holy Family Hospital,"P. O. Box 36, Techiman"
"Frimpong-Asare, Priscilla","M. B., Ch.B (KNUST-SMS)",Ghana Police Hospital,"P. O. Box CT 1822, Cantonments"
"Frimpong-Barfi, Audrey","M. B., Ch.B (KNUST-SMS),M.G.C.P (GCPS),M.W.A.C.P (WACP)",Tema General Hospital,"P. O. Box 14, Tema"
"Frimpong-Boateng, Adjoa",M.D. (Hannover Med. School),Toase Medical,"P. O. Box 366, Cantonment, Accra."
"Frimpong-Boateng, Kwabena","M.B., Ch.B (U.G.M.S),Sp. In General Sugery (Lower Saxon Med. Board),Sp. In Cardiothoracic (Lower Saxon Med. Board),Sp. In Vascular Surgery (Lower Saxon Med. Board)",Toase Medical,"P. O. Box 366, Cantonment, Accra."
"Frimpong-Boateng, Yao","M.B., Ch.B (U.G.M.S)",Korle Bu Teaching Hospital,
"Frimpong-Manso, Ebenezer Kofi","M.B.B.S (Shenyang Med. Coll, China)",Stewards Hospital,
"Frimpong-Manso, Kwadwo",M.D ( Our Lady Of Fatima Univ.),Valley View University Hospital,
"Frimpong-Mansoh, Rita Patricia","M.B., Ch.B (KNUST-SMS)",Ashaiman Polyclinic,
"Frimpong-Twumasi, Benjamin","M. B., Ch.B (KNUST-SMS),M.G.C.S. (GCPS)",Dept of Surgery,"P. O. Box KS 1934, Kumasi"
"Frimpong, Collins","M.B., Ch.B (KNUST-SMS)",Dept of Public Health,
"Frimpong, Enock","M. B., Ch.B ((KNUST-SMS)",School of Med. Sciences,
"Frimpong, Frank","M.B., Ch.B (KNUST-SMS)",Gary Marvin Memorial Hospital,"P. O. Box 11980, Kumasi"
"Frimpong, George Adom Asafu-","M.B., Ch.B (KNUST-SMS)",KNUST/KATH,
"Frimpong, Kwame Bediako","M.B., Ch.B. (KNUST-SMS)",St. Patrick’s Hospital,"P. O. Box 9665, Adum Kumasi"
"Frimpong, Maria Akua Bema",BDS. (KNUST-DS),KATH,
"Frimpong, Paul",B.D.S. (KNUST-DS),Brong Ahafo Regional Hospital,"P. O. Box 27, Sunyani"
"Frimpong, Portia","M.B., Ch.B (KNUST-SMS)",Efia-Nkwanta Regional Hospital,
"Fumador, Senyo Kofi","M.B., Ch.B (UG-SMD)",,"P. O. Box MD 1256, Madina-Accra"
"Fummey, Victoria","M.B., Ch.B (U.G.M.S ),M.W.A.C.P (WACP)",Nyaho Medical Centre,
"Fuseini, Adams","M.B., Ch.B (U.D.S)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra."
"Fuseini, Halwani Yaninga","M.D (Univ. of Punjab),M.G.C.P. (G.C.P.S.)",Dept. of Child Health,"P. O. Box,"
"Fuseini, Zulaiha","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Fuster, Juan Casais",M.D. ( Complustense Madrid Univ.),Eastern Regional Hospital,
"Futa, Ahmed Cherno",M.D (Ternopil State Medical University),Franklin Medical Services,
"Gadzanku, Fafa Ama","M.B., B.S. (Nat’l Med. Univ., Kiev, Ukraine)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle Bu-Accra"
"Gadzey, Hilarius Yao",M.D (Minsk State Med. Inst.),Nkwanta South District Hospital,
"Gaisie-Essilfie, Lawrence",M.D. (Crimea State Medical Institute),37 Military Hospital,
"Gaisie, Godfrey","M.B., Ch.B (U.G.M.S)",3531 Saint Anrews LN. Richfield Oh 44286,
"Gaisie, James Kofi",B.D.S. (U.G.D.S.),Methodist Hospital,
"Gaisie, Nana Esi Amoawah","M. B., Ch.B (KNUST-SMS)",Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Gakpetor, Delali Akosua",M. D (Lugansk State Med univ.),,"P. O. Box NT 145 Accra Newtown,"
"Galley, Jack Yema","M.D. (Kalinin State Med. Inst., Russia Fed.),M.P.H (Hebrew Univ. of Israel)",St. Benedict Hospital,"P. O. Box 540, Sekondi."
"Gandaa, Solomon","M.B., Ch.B. ( UDS-SMHS)",West Gonja District Hospital,"P. O. Box DM 18,Damango"
"Ganu, Vincent Jessey","M.B., Ch.B. (U.G.M.S.)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra."
"Ganyaglo, Gabriel Yao. K.","M.B., Ch.B (UGMS)",Dept. of Obs/Gynae,
"Garfo, Adolph Eli","M.B., Ch.B (U.G.M.S)",Trauma and Specialist Hospital ,"P. O. Box 326, Winneba"
"Gaveh, Edinam Yaw",B.D.S (KNUST-DS),KATH ,"P. O. Box KS 1934, Kumasi"
"Gavua, Kuklui","M.B., Ch.B (U.G.M.S)",Ketu South Municipal Hospital,
"Gawu, Victoria Sena","M.B., Ch.B (KNUST-SMS)",Korle Bu Teaching Hospital,
"Gbadamosi, Abdul Razak","M. B., Ch.B (KNUST-SMS)",Pentecost Hospital,
"Gbadamosi, Hafisatu","M. B., Ch.B (KNUST-SMS)",Dept. of Radiology,"P. O. Box 77, Korle-Bu, Accra"
"Gbagbo, Foster","M.D. (Kuban State Med. Inst., Russia Fed.)",,"P. O. Box KB 570, Korle-Bu Accra"
"Gbekor, Delasy Kwame","M.B., Ch.B (KNUST-SMS)",Port Medical Centre,
"Gbekor, Prosper Kwaku","M.B., Ch.B (KNUST-SMS)",Bekwai Municipal Hospital,"P. O. Box 81, Bekwai."
"Gbene, Joseph","M. B., Ch.B (KNUST-SMS)",,"P. O. Box CT 266, Cantonments, Accra"
"Gbikpi, Sheilla Selasie","M.B., Ch.B. (U.G.M.S)",Korle Bu Teaching Hospital,
"Gbireh, Thomas Aquinas","M.B., Ch.B (U.G.M.S),F.W.A.C.S (WACS)",Surgical Dept. 37 Military Hospital,
"Gbogbo, Michael Kwasi",M.D. (Donetsk Nat’l Med. Univ.),St. Peters Hospital,"P. O. Box 31, Jacobu – A/R"
"Gepi-Attee, Samuel","M.B., Ch. B. (U.G.M.S)",Dept. of Surgery,
"Gepi-Attee, Samuel Junior","M.B., Ch.B. (KNUST-SMS),",c/o Dr,
"Geraldo, Immaculine Yao","M.B., Ch.B (U.G.M.S)",Korle Bu Polyclinic ,"P. O. Box 77, Korle Bu"
"Ghansah, Abeiku Abassah","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Ghartey, Aba Eduwa",M.D. (Ross University School of Medicine),Komfo Anokye Teaching Hospital,
"Ghartey, Edward Nenyi","M.B., Ch.B (U.G.M.S),",Baiden-Ghartey Memorial Hospital,
"Ghartey, Nenyi Ndome","M.B., Ch.B (U.G.M.S)",Dept. of Child Health,"P. O. Box 77, Korle Bu, Accra"
"Ghunney, Ama Kaki","M.B., Ch.B (KNUST-SMS)",Dept. of Obst & Gynae,
"Ghunney, Emmanuel E. Kodjo","State Exam (Univ. Of Heidelberg),M.D. (Univ. of Heildelberg),Sp. Cert. Obst./Gynae. (Westfallen-Lippe Bd. of Med.)",Specialist Hospital and Family Planning Centre,"P. O. Box MP,"
"Ghunney, William Kwesi","M.B., ChB (U.G.M.S)",Korle Bu Teaching Hospital,
"Gibil, Bertha Volematome","M.B., Ch.B (U.D.S.-SMHS)",Upper East Regional Hospital,
"Gligui, Cornelius Atsu",M.D. (State Attestation Commission),Atebubu District Hospital,"P. O. Box 7, Atebubu"
"Gligui, Fidelis Dzidzienyo",M.D. (Sumy State Medical University),Sene West District Hospital,"P. O. Box 35, Kwame Danso"
"Glover-Addy, Hope","M.B., Ch.B (U.G.M.S),F.W.A.C.S. (WACS)",Dept of Surgery,"P. O. Box 77, Korle-Bu, Accra"
"Glover-Nyador, Lydia Elizabeth","M.D. (1st Med. Inst. Of Leningrad),Dip. in Ophthamology (WAPMC)",Tema General Hospital,"P. O. Box 14, Tema"
"Glover, Benedicta Ama M. Eshun","M.B., Ch.B (U.G.M.S)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Glover, Harry Benjamin Korli",B.D.S (U.G.D.S),Life Health Care Dental Clinic,
"Glover, Naa Djama Omanyeyoo","M.B., Ch.B (KNUST-SMS),M.G.C.P (G.C.P.S)",Trauma and Specialist Hospital ,"P. O. Box 326, Winneba"
"Glover, Paul Sedem Komla",M.D. (Donetsk National Med. Univ.),Dept. of Emergency Medicine,
"Glover, Roselyn Edzordzi","M.B., Ch.B. – U.G.M.S.",,"P. O. Box KN 1717, Accra"
"Gogo, Bridget Anowa","M.B., Ch.B (KNUST-SMS),MSc. Clinical Dermatology (Cardiff Univ., UK)",,"P. O. Box LA 525, La, Accra"
"Goka, Bamenla Quarm","M.B., Ch.B (U.G.M.S),M.R.C.P (RCP, UK),F.W.A.C.P(Paediatrics) (WACP)",Dept. of Child Health,"P. O. Box 4236, Korle-Bu"
"Goka, Ruby Yayra",B.D.S (U.G.D.S),Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Gongwer, Cameron Richard","M.D (India Univ. Sch. Of Med.),MSc. (India Univ. Sch. Of Med.),D.T.M & H (RCP, UK)",Methodist Faith Healing Hospital,"P. O. Box 1256, Kumasi"
"Gonzalez, Ramos Anibal","M.D (Higher Inst, of Med. Sciences, Cuba)",Bole District HospitAL,"P. O. Box 11 Bole, N/R"
"Gordon, Afua Sarpong","M.B., Ch.B (U.G.M.S),M.G.C.S (GCPS)",Dept. Of Obst./ Gynae. KBTH,
"Gordon, Seth","M.D (Odessa State Med. Inst., Russia Fed.),Sp. Cert. in Cardiology (Min. of Health, Romania)",Health Link Medical Clinic,"P. O. Box AF 2518, Adenta, Accra"
"Gorleku, Oxana Alexandrovna","M.D. (Kharkov State Med. Inst., Ukraine)",Univ. Hospital,"P. O. Box AD 471, Cape Coast"
"Gorleku, Philip Narteh","M.D (Kharkove State Med. Inst.),PhD in Radio. & Radiation Therapy (PG Edu., Ukraine)",UCC-SMS,
"Gorman, Benjamin A.","M.B., Ch.B (KNUST-SMS),MSc. in Oncology (Univ. of Nothingham)",KNUST Hospital,
"Gorni, Pamela Kafui","M.B., Ch.B. (UDS-SMHS)",C/O Adelaide Asamoah,"P. O. Box 6045, Accra-North"
"Govina, Felix","B.D.S (U.G.D.S),M.P.H (UG)",37 Military Hospital,
"Graham, Eric Engman Amonu","M.D. (State Univ. of Liege, Belgium)",,"P. O. Box CT 3055, Cantonments, Accra"
"Graham, Solange","M.D. (Kinshasa, Zaire)",,"P. O. Box CT 3056, Cantonments, Accra"
"Gudjinu, Horlali Yao","M. B., Ch.B (KNUST-SMS)",Jasikan District Health Dir. P,"P. O. Box HP 1390, Ho"
"Gudu, Williams","M.B., Ch.B (U.G.M.S)",Bongo District Hospital,"P. O. Box 18, Bongo"
"Gudugbe, Adzi Kofi","M.B., Ch.B (UG-SMD)",V.R.A. B,
"Gudugbe, David Yao","M.D. (Charles Univ., Prague)",Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Gudugbe, Senyo",M.D. (Tver State Medical Academy),Holy Family Hospital,"P. O. Box 36, Techiman"
"Gumanga, Solomon Kwabena","M.D. (1ST Petersburg I. P. Pavlov State Med. Inst.),F.W.A.C.S (WACS),F.G.C.S. (G.C.P.S.)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Gyader, Edward Nminnyuor","M.D. (Univ of Boltgna, Italy),Sp. Degree In Gen. Surgery (Univ of Padova, Italy),M.B., Ch.B (KNUST-SMS)",Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Gyamfi, Eric","M. B., Ch.B (KNUST-SMS)",Margret Marquart Catholic Hospital,"P. O. Box 97,Kpando."
"Gyamfi, Frank Enoch","M.B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Holy Family Hospital,"P. O. Box 21, Berekum"
"Gyamfi, Nana Akua","M.B., Ch.B (KNUST-SMS)",Ridge Regional Hospital,
"Gyamfi, Sarah Adu","M.B., Ch.B (UCC-SMS)",Presby Hospital,
"Gyamfi, Stella","M.D (Vinnitsa State Med. Inst.),M.P.H. (UG)",Ussher Polyclinic,
"Gyamiri, Adu Kwadwo","M.D. (Dontesk State Med. Inst.),M.G.C.P (GCPS)",BA Regional Hospital,"P. O. Box 27, Sunyani."
"Gyan-Kesse, Lydia","M.B., Ch.B (KNUST-SMS),",Emergency Medicine Dept.,"P. O.,"
"Gyan, Baffoe","M.D (Higher Inst. Med. Sc.),Sp. Cert. Cardiovascular Surg. (H.I.M.S., Cuba)",National Cardio Centre,
"Gyan, Gabriel Kosi","M.B., Ch.B (U.G.M.S)",Cocoa Clinic,"P. O. Box 507, Kumasi"
"Gyan, Sandra","M.B., Ch.B. (U.C.C-SMS)",C/O/ St. Thomas Cathedral,
"Gyann, Esther Sanell","M.B., Ch.B (KNUST-SMS),M.P.H. (U.G.),M.F.P.H. (R.C.P. UK)",Redcar and Cleveland Council,
"Gyapon, Nana Fosua","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",Dept. of Anaesthesia,
"Gyasi-Sarkodie, Eric Kojo",M.D (Almaty State Medical School),Neighbourhood Hospital,"P. O. Box 563, Obuasi"
"Gyasi-Sarkodie, Natalya V.",M.D. (Kazakhastand Med. Inst.),Obuasi Gov’t Hospital,
"Gyasi-Sarpong, Christian","M.B., Ch.B (KNUST-SMS)",Dept. of Surgert,"P. O. Box KS 1934, Kumasi"
"Gyasi, Kwaku","M.B., Ch.B (UGMS)",Comboni Hospital,"P. O. Box SK 95, Sogakope, Volta Region."
"Gyasi, Ricahrd Kwasi","M.B., Ch.B (U.G.M.S),Dip. In Clinical Pathology (Univ. of London),F.W.A.C.P (WACP)",Dept. of Surgery,"P. O. Box 4236, Korle-Bu, Accra."
"Gyau-Darko, Baffour",B.D.S (U.G.D.S),37 Military Hospital,
"Gyau, Bertha Adwoa","B.D.S (U.G.D.S),M.P.H (National Institute of Public Health, Japan)",Komfo Anokye Teaching Hospital,
"Gyau, George","M.D. (Higher Inst. Of Med. Sciences, Cuba)",Madina Polyclinic,
"Gyedu, Jones Ampofo","M.B., Ch.B (UGMS)",La General Hospital,
"Gyedu, Linda","M.B., Ch.B (KNUST-SMS)",Sunyani Municipal Hospital,
"Gyekye, Appiah Kwabena","M.B., Ch.B (U.G.M.S)",Korle-Bu Polyclinic,"P. O. Box 77, Korle-Bu, Accra"
"Gyekye, Selina Annie",D.D.S. (Phillips Univ. Marbury),International Dental Clinic,
"Gyening, Albert Boakye","M.B., Ch.B (U.G.M.S),Dip. Dermatology (Univ. of London),Diploma in Venereology (Soc. of Apthecaries of Lon.),F.W.C.P (W.A.C.P),F.G.C.P. (GCPS)",37 Military Hospital,
"Gyiele, Anthony Dekumwin","M.B., Ch.B. ( UDS-SMHS)",St. John of God Hospital,
"Gyimah Omari-Sasu, Akosua","M.B., Ch.B (KNUST-SMS)",Kumasi South Hospital,"P. O. Box KS 1980, Kumasi"
"Gyimah-Asante, Akua Afriyie","M.B., Ch.B (U.G.M.S),M.G.C.P. (GCPS),M.W.A.C.P (WACP)",LEKMA Hospital,
"Gyimah-Boateng, Grace","M.B., Ch.B (UG-SMD)",,"P. O. Box 13386 Accra,"
"Gyimah-Kessie, Naana Mary M.","M.B., Ch.B (KNUST-SMS)",The Trust Hospital,
"Gyimah, Claudia","M.B., Ch.B (KNUST-SMS)",Police Hospital,
"Gyimah, Derrick","M.B., Ch.B (KNUST-SMS)",Dept. of ENT,"P. O. Box KS 1934, Kumasi"
"Gyimah, Esther Agyapomah","M.B., Ch.B (KNUST-SMS)",Kumasi South Hospital,
"Gyimah, Kwasi Baffour","M.B., Ch.B. (KNUST-SMS)",Ejisu Gov’t Hosp,"P. O. Box 83, Ejisu, Juaben."
"Gyimah, Leveana","M.B., Ch.B (U.G.M.S)",,"P. O. Box AF 2575, Adenta"
"Gyimah, Nana Tuffour Ampem",B.D.S. (KNUST-DS),Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Haffar, Hassan","M.D. (Hacettepe Univ., Ankara, Turkey)",Dept. of Family Medicine,"P. O. Box KS 1934, Kumasi"
"Hagan, George Godfred","M.B., Ch.B (KNUST-SMS)",Axim Gov’t Hospital,"P. O. Box 2, Axim"
"Hagan, Janet","M.B., Ch.B. ( U.G.M.S.)",Dept. of Child Health,
"Hagan, Kobina Kwantsin","M.B., Ch.B. (KNUST-SMS)",c/o George Hagan,"P. O. Box 26, Tarkwa"
"Hagan, Mildred Christine","M.B., Ch.B (U.G.M.S)",Sakumono Community Hospital,
"Hagan, Oheneba Charles","M.B., Ch.B (UGMS)",Dept of Biochemistry,
"Hagan, Paa Gyasi","M.B., Ch.B (U.G.M.S),M.W.A.C.P (W.A.C.P),M.G.C.P (GCPS)",Dept. of Medicine.,"P. O. Box 77, Korle-Bu, Accra"
"Hagan, Richmond",M.B.B.S (Ahmadu Bello Univ.),Cape Coast Teaching Hospital,"P. O.Box CT 1363,CapeCoast"
"Haizel-Cobbina, Francis William",M.B.B.S (Shenyang Medical College),Essam Government Hospital,
