n,name,street address,postal_address,road,ghana_gps_address,locality/area,district,region,country,latitude,longitude,rating,local_phone_number,international_phone_number,website,google_maps_url,type,photo_link,
177,Hobats Clinic,"1st Cl, Tesano- Accra",,,GA-253-4001,Tesano Sports Club Area,Accra,Greater Accra Region,Ghana,5.6067845,-0.2317368,,302220833/0243825062/0243171279,+233302220833,,Https://Maps.Google.Com/?Cid=14461814417006825171,Hospital,,
178,Robert Martin Children Clinic,"18 Spintex Rd, Accra",,,GZ-115-9286,"Baatsona, Spintex",Ledzokuku Krowor,Volta Region Ghana,Ghana,5.6240965,-0.0766937,4,245964407/0245964407/0203330618,+233245964407,,Https://Maps.Google.Com/?Cid=15487525960470537225,Hospital,,
179,Bank Of Ghana Clinic,"97 Tafawa Balewa St, Accra",,,GA-029-0093,"Accra High School Area, North Ridge",Accra,Greater Accra Region,Ghana,5.5659273,-0.1976017,4.5,302224837,,,Https://Maps.Google.Com/?Cid=1101818617908415158,Hospital,,
180,Crystal Eye Clinic,"22 Ashie Boye Loop, Adenta Municipality",,,GD-039-3111,7 Adenta Municipality,Adentan,Greater Accra Region,Ghana,5.7061649,-0.146808,4.4,21514722,+23321514722,,Https://Maps.Google.Com/?Cid=14265681856956697137,Hospital,,
181,Iran Clinic,Kojo Thompson Rd Accra Ghana,,Kojo Thompson Road Accra,GA-073-7037,Kwame Nkrumah Circle Area,Accra,Greater Accra Region,Ghana,5.5678901,-0.2124213,3.8,302243342/0208180269/0302222402,+233302243342,,Https://Maps.Google.Com/?Cid=289559760976424784,Hospital,,
182,Cocoa Clinic,"Mantse Boi St, Accra",,Orgle Road Accra,GA-261-5124,"Orgle Road, Bubuashie Roundabout",Accra,Greater Accra Region,Ghana,5.5718247,-0.2357628,3.9,302229234/0302229355,+233302229234,,Https://Maps.Google.Com/?Cid=17314027980415619722,Hospital,,
183,Trust Clinic Adenta,"Ntreh St, Adenta Municipality",P.O. BOX M.149  ,,GD-030-6789,"Adenta Shopping Mall, Adenta Housing Down",Adentan,Greater Accra Region,Ghana,5.7141674,-0.15418,5,236840627/0266731399/0244849110,+233236840627,http://thetrusthospital.com/contacts/,Https://Maps.Google.Com/?Cid=7882061575265008754,Hospital,,
184,The Trust Hospital - Osu,"4500 Oxford St, Accra",,,GA-055-4715,"Oxfort Street, Adjacent Dynasty Restaurant and ECOBANK.",Accra,Greater Accra Region,Ghana,5.5624151,-0.1819987,3.5,302761974/0302761975,+233302761975,http://thetrusthospital.com/contacts/,Https://Maps.Google.Com/?Cid=8280090085136335116,Hospital,,
,"Trust Specialist Hospital, Osu","Sunkwa Rd, Accra",,,GA-054-3977,"Kuku Hill, Osu Cemetary Road, North Ridge",Accra,Greater Accra Region,Ghana,5.560728,-0.186889,,302797147/0302900798,,http://thetrusthospital.com/contacts/,,,,
,Trust Clinic- Sakumono,"Sakumono Broadway, Tema",,"Sakumono Broadway, Tema",GT-369-6188,"SSNIT Housing Estates, Opposite Tennis Court,Sakumono",Tema,Greater Accra Region,Ghana,5.624154,-0.060108,,244653042/0303403861/03034038612,,http://thetrusthospital.com/contacts/,,,,
,Trust Mother & Child Hospital,"Troas Cres, Accra",,"Troas Cres, Accra",GA-114-0552,Osu,,Greater Accra Region,Ghana,5.555095,-0.179425,,302798290 /0231797953,,http://thetrusthospital.com/contacts/,,,,
,Trust Clinic – Tema,"Aggrey Rd Link, Tema",,,GT-055-2294,Inside SSNIT Building in Community 2,Tema,Greater Accra Region,Ghana,5.633433,-0.012445,,303212992,,http://thetrusthospital.com/contacts/,,,,
,Trust Clinic – Dome ,"Speedy St, Taifa",,"Speedy St, Taifa",GE-342-5098,Located near the Vodafone Office at Dome.,Ga East,Greater Accra Region,Ghana,5.647107,-0.244782,,236840846,,http://thetrusthospital.com/contacts/,,,,
,Trust Clinic – Pension House ,"Liberia Lake, Accra,",,,GA-107-4303,"Located on the seventh floor of the Car Park near Pension House, West Ridge, National Theatre Area",Accra,Greater Accra Region,Ghana,5.552882,-0.200186,,236840942,,http://thetrusthospital.com/contacts/,,,,
,Trust Clinic – Dansoman ,"Armeley Tagoe Street, Accra",,"Armeley Tagoe Street, Accra",GA-537-5199,Opposite the Baptist Academy.,Accra,Greater Accra Region,Ghana,5.5572004,-0.267196,,236839369,,http://thetrusthospital.com/contacts/,,,,
185,Healthlink Medical Clinic,"No. 7 Anum Tesa Avenue Adjiringano (Bridge), East Legon Accra",,,GD-232-9233,Madina,Adentan,Greater Accra Region,Ghana,5.6441916,-0.1440464,4.3,242222230/0302544264,+233242222230,http://www.healthlinkclinic.com/,Https://Maps.Google.Com/?Cid=9670771398131286016,Hospital,,
186,Amen Scientific Herbal Hospital,"Folk St, Taifa",,,GE-343-4241,"Dome near the C.F.C./SNNIT Flats, Accra ",Ga East,Greater Accra Region,Ghana,5.6490383,-0.2406159,4.5,207229505/0245275254,,https://amenscientificherbalhospital.com/,Https://Maps.Google.Com/?Cid=286372893721999699,Hospital,,
187,Eric Heymann Memorial Clinic,Osakuman Street,"P.O, Box CT 4242, Cantonments",,GA-466-0141,"Opposite Fair Jack Park, Odorkor Official Town",,Greater Accra Region,Ghana,5.5950669,-0.2559652,5,302319133/0245171408/0246727898/0244954664,+233302319133,http://ericheymannmemorialclinic.webs.com/,Https://Maps.Google.Com/?Cid=2665240467938008303,Hospital,,
188,Sic Bob Freeman Clinic,"75 Kojo Thompson Rd, Accra",,Kojo Thompson Road Accra,GA-106-5630,Adabraka,Accra,Greater Accra Region,Ghana,5.5541127,-0.2085578,4,302682833/0202018127/0302682832,+233302682833,,Https://Maps.Google.Com/?Cid=18170609129182603326,Hospital,,
189,Oyoko Clinic,"No. 47 Dzraase Road, Adenta",,"Alalomo St, Adenta",GD-028-0662,,,Greater Accra Region,Ghana,5.7039377,-0.1524085,3,244642141/0302505412,,,Https://Maps.Google.Com/?Cid=1236978704498734854,Hospital,,
190,Lister Hospital And Fertility Centre,Airport Hills Blvd," P. O. Box CT 966, Cantonments",,GA-189-4281,Airport Hills Blvd,Accra,Greater Accra Region,Ghana,5.6193832,-0.1463085,3.7,303409030/0303409031/0244313883 ,+233303409030,http://www.listerhospital.com.gh/,Https://Maps.Google.Com/?Cid=17350872427309086386,Hospital,,
192,"St Paul's Hospital, Akatsi",On Akatsi Ziope Road,,,VX-0008-6875,Opposite Akatsi Training College,Akatsi South,Volta Region Ghana,Ghana,6.1269182,0.8025924,4.5,208113342/0540738039,,,Https://Maps.Google.Com/?Cid=14937773191337746672,Hospital,,
193,Danpong Medical Centre,67 Nungua Link Off Spintex Rd Accra Ghana,"P. O. Box TS 73, Tehsie, Accra",67 Nungua Link Off Spintex Road Accra,GZ-142-2774,,,Greater Accra Region,Ghana,5.6280444,-0.0886118,4.5,302811153 / 0302811672/ 0302811673/0302811493 /0202050080,+233302811672,Http://Www.Danponggroup.Net/,Https://Maps.Google.Com/?Cid=6469921361639318239,Hospital,,
194,Commonwealth Aid Clinic,"2nd Patrice Lumumba Ln, Accra",P.O Box CT 10651 Cantonments- Accra,,GA-116-9476,Candian Independent College Area,Accra,Greater Accra Region,Ghana,5.610124,-0.179926,5,244520532,+233244520532,,Https://Maps.Google.Com/?Cid=11110578786661917672,Hospital,,
195,Marie Stopes Ghana Tema New Tow,"Fishing Harbour Rd, Tema",,"Fishing Harbour Rd, Tema",GT-150-4315,"1st Floor, Opportunity International Building, Behind Tema New Town Police Station",,Greater Accra Region,Ghana,5.652364,0.0243894,1,303205343/0800208585,+233303205343,https://www.mariestopes.org.gh/,Https://Maps.Google.Com/?Cid=16401015904692160028,Hospital,,
197,Beijing Clinic,"Osu Anumansa Street, Behind Papaye Restaurant",P. O. Box OS 3088 Osu-Accra,,GA-082-8825,"Osu Anumansa Street, Behind Papaye Restaurant",Accra,Greater Accra Region,Ghana,5.5583604,-0.1801774,5,302776949/0244262078,+233302776949,http://beijingclinicghana.com/,Https://Maps.Google.Com/?Cid=15954194549956056038,Hospital,,
199,Dziram Eye Clinic,"House Number 42, Mantse Okle, Baatsonaa","P.O Box SR 444, Spintex Road",,GZ-143-4704,"Spintex Road, Baatsonaa",Ledzokuku Krowor,Greater Accra Region,Ghana,5.6293724,-0.0921889,4,244716348/0289549869/0249687115,+233244716348,http://www.dzirameyecenter.com/,Https://Maps.Google.Com/?Cid=13781993310828420937,Hospital,,
200,Tree Of Life Clinic,"Yawa Cl, Madina","P.O.Box GP 13993,Accra",,GD-197-4983,,Adentan,Greater Accra Region,Ghana,5.6778897,-0.119069,3,302514432/0302508321/0302506432,+233302514432,Http://Www.Treeoflife-Healthcare.Com/,Https://Maps.Google.Com/?Cid=14685060619052006956,Hospital,,
202,Lucky Herbal Clinic Accra Branch,Jonkobri Rd Accra Ghana,,Jonkobri Road Accra,GA-313-6781,,Accra,Greater Accra Region,Ghana,5.5654064,-0.2394921,4.3,556065777,+233556065777,https://www.luckyherbalclinic.co/departments/,Https://Maps.Google.Com/?Cid=12738883261417031752,Hospital,,
203,Penkwase Clinic,"Asubonteng Road, Sunyani",,,BS-0087-4752,Sunyani,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3576999,-2.3245096,4,208214017/0352025125,+233208214017,,Https://Maps.Google.Com/?Cid=5649619061176282214,Hospital,,
204,Zongo Clinic,,,Berekum- Sekwai Rd,BB-0000-9978,Near Coronation Park,Berekum,Brong Ahafo Region Ghana,Ghana,7.4534224,-2.5826612,4,352222304,,,Https://Maps.Google.Com/?Cid=17966260257977369098,Hospital,,
205,Dr Asare Clinic,15a Sunyani - Wenchi Road,,,BS-0003-7629,,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3426823,-2.3246219,,,,,Https://Maps.Google.Com/?Cid=1709032907690800631,Hospital,,
206,Fountain Care Clinic Ltd,"Sampa - Buko Road, Sampa",P. O. Box 78,"Sampa - Buko Road, Sampa",BJ-0003-7295,Behind Yawkee FM,Jaman North,Brong Ahafo Region Ghana,Ghana,7.9543633,-2.69619,5,244734233/0206300424,+233244734233,,Https://Maps.Google.Com/?Cid=16567686045445611573,Hospital,,
,Holy Family Hospital Techiman,Techiman-Tamale Rd Techiman Ghana,"P. O. Box 36, Techiman ",Techiman-Tamale Road Techiman,BT-0014-5751,Techiman,Techiman,Brong Ahafo Region Ghana,Ghana,7.5918727,-1.9377964,3.9,207716806/0352522031/0352522364,,http://www.holyfamilyhospitaltechiman.com/,Https://Maps.Google.Com/?Cid=13218103663833067821,Hospital,,
207,Holy Family Hospital,Berekum Ghana,,,BB-0020-8242,Berekum,Berekum,Brong Ahafo Region Ghana,Ghana,7.4427922,-2.5879251,4.6,208725806/050112897/0245836909/0352022433,,http://hfhberekum.org/fresh_home/,Https://Maps.Google.Com/?Cid=4390921859674822782,Hospital,,
208,"SDA Hospital, Sunyani",Sunyani Ghana,,Sunyani - Berekum Rd,BS-0062-2874,"Fiapre, Sunyani",Sunyani,Brong Ahafo Region Ghana,Ghana,7.3451932,-2.3433132,4,206713873/0278975604/0243646242,+233206713873,,Https://Maps.Google.Com/?Cid=3170189182107848204,Hospital,,
209,Constance Maternity & Clinic,"Business School Rd, Sunyani",,"Business School Rd, Sunyani",BS-0081-7393,Cocoa Sunyani,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3415205,-2.3053851,,244739479,+233244739479,,Https://Maps.Google.Com/?Cid=4875084427269218190,Hospital,,
210,Sunyani Regional Hospital,"122 N12, Sunyani - Wenchi Rd Sunyani Ghana",,Sunyani - Wenchi Road Sunyani,BS-0027-8082,"Nkwabeng, Sunyani",Sunyani,Brong Ahafo Region Ghana,Ghana,7.3455351,-2.3140517,4.1,352028461/0205111333/0612846062,+233352028461,,Https://Maps.Google.Com/?Cid=11187803065009050395,Hospital,,
213,Ayum Clinic,Goaso-Amasu Rd Mim Ghana,,Goaso-Amasu Road Mim,BU-1345-1924,,Asunafo North,Brong Ahafo Region Ghana,Ghana,6.9064326,-2.5638136,4,,,,Https://Maps.Google.Com/?Cid=15572245457304591714,Hospital,,
215,Dr. Forkuo Herbal Clinic,"N10 Techiman-Tamale Rd, Tuobodom","P.O.Box 4, Pakyi-Kumasi, Ghana",,BT-0391-1822,Tuobodom,Techiman,Brong Ahafo Region Ghana,Ghana,7.63114,-1.9126,,267999997,+233267999997,,Https://Maps.Google.Com/?Cid=11942152334420453265,Hospital,,
216,Mili-Med Clinic,Techiman Municipal Ghana,,,BT-0046-5505,,Techiman,Brong Ahafo Region Ghana,Ghana,7.567287,-1.9198964,4,203950628,+233203950628,,Https://Maps.Google.Com/?Cid=11053191758468468293,Hospital,,
217,"Rabito Clinic, Sunyani","Sunyani - Mim Rd, Sunyani",,"Sunyani - Mim Rd, Sunyani",BS-0020-7711,"Behind Union Oil near SDA Church, Off Estate Road",Sunyani,Brong Ahafo Region Ghana,Ghana,7.3288373,-2.3321271,,268150998/0244974669/0543882828 ,+233268150998,https://www.rabitoclinic.com/sunyani,Https://Maps.Google.Com/?Cid=9628283415793413976,Hospital,,
,"Rabito Clinic, Nkoranza -Techiman",Techiman - Nkoranza Rd,,,BO-1611-0454,Telecommunication near SCB,Nkoranza South,Brong Ahafo Region Ghana,Ghana,7.492902,-1.8323464,,244974669/0560975396,,https://www.rabitoclinic.com/techiman,,,,
218,21St Clinic Atebubu,Salaga - Atebubu Rd Yeji Ghana,,Salaga - Atebubu Road Yeji,,,,Brong Ahafo Region Ghana,Ghana,7.7637119,-0.9837276,,540311311,+233540311311,Http://Www.21Stclinic.Com/,Https://Maps.Google.Com/?Cid=6163421208164031990,Hospital,,
219,21St Clinic Techiman,Sunyani Road Techiman Ghana,,,BT-0017-3088,Sunyani Road Techiman,Techiman,Brong Ahafo Region Ghana,Ghana,7.5800234,-1.943476,,541800700,+233541800700,Http://Www.21Stclinic.Com/,Https://Maps.Google.Com/?Cid=5656644988293781557,Hospital,,
221,Sunyani Municipal Hospital,Sunyani - Wenchi Road Sunyani Ghana,,Sunyani - Wenchi Road Sunyani,BS-0005-3648,"TIGO Office, Sunyani",Sunyani,Brong Ahafo Region Ghana,Ghana,7.3350039,-2.3294861,3.8,0208170839/0242041338,,,Https://Maps.Google.Com/?Cid=13600816729114835915,Hospital,,
222,Greenhill Medical Centre,Kumasi-Sunyani Rd Sunyani,P.O.Box No. 1352,Near Sunyani School Before Police Barrier P.O.Box No. 1352 Kumasi-Sunyani Road Sunyani,BS-0046-8947,Near Sunyani School Before Police Barrier  ,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3214626,-2.313641,4,208160764,+233208160764,,Https://Maps.Google.Com/?Cid=10010997233159211600,Hospital,,
223,Marie Stopes Ghana Techiman Centre,"Techiman-Tamale Rd, Techiman ",,Techiman-Tamale Road Techiman,BT-0057-3686,,Techiman,Brong Ahafo Region Ghana,Ghana,7.6024823,-1.934239,3,352196232,+233352196232,Http://Www.Mariestopes.Org.Gh/,Https://Maps.Google.Com/?Cid=18382364580274577654,Hospital,,
224,Owusu Memorial Hospital,HNO. WNT 86/A Atronie Road,,"Sunyani - Mim Road, Sunyani",BS-0020-6864,,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3267254,-2.3325495,4.5,352023341/0208170628,+233352023341,,Https://Maps.Google.Com/?Cid=15006471805155800247,Hospital,,
225,St. Elizabeth Catholic Hospital,,,"Tepa - Goaso Rd, Hwidiem",BR-0007-0004,Hwidiem-Goaso Road/RC Church,Asutifi South,Brong Ahafo Region Ghana,Ghana,6.9325279,-2.3580684,4.2,322298428/0244178324/0244178324,+233322298428,Http://Www.Sech-Gh.Org/,Https://Maps.Google.Com/?Cid=12297010779588511735,Hospital,,
226,Methodist Hospital,"Wenchi - Sampa Rd, Wenchi",,,BW-0005-0004,Wenchi,,Brong Ahafo Region Ghana,Ghana,7.7384862,-2.1110039,3.7,202055760/0208181340/065222012/0352422012,+233202055760,Http://Www.Methowen.Org/,Https://Maps.Google.Com/?Cid=3181395178759055408,Hospital,,
227,First Aid (Eye Clinic),"43 N12, Sunyani - Wenchi Rd Sunyani Ghana",,Sunyani - Wenchi Road Sunyani,BS-0011-0360,,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3445597,-2.3174906,,,,,Https://Maps.Google.Com/?Cid=5142034729699244104,Hospital,,
230,"21st Clinic, Ejura","Ejura-Kumasi Rd, Ejura",,Ejura-Kumasi Road Ejura,AJ-0039-5796,,Ejura-Sekyedumase,Ashanti Region,Ghana,7.3730755,-1.3667786,4,244915193,+233244915193,https://www.21stclinic.com/,Https://Maps.Google.Com/?Cid=13880890364426473731,Hospital,,
231,Tepa Government Hospital,Tepa Ghana,,"Mankranso - Tepa Rd, Tepa",AX-0008-8602,Tepa,Ahafo Ano North,Ashanti Region,Ghana,6.9999031,-2.1610555,5,,,,Https://Maps.Google.Com/?Cid=8869523268632370832,Hospital,,
,Tepa District Hospital,Tepa-Mankraso Main Rd.,,Tepa-Mankraso Main Rd.,AX-0000-6487,Tepa,Ahafo Ano North,Ashanti Region,,7.003701,-2.166538,4.5,208901384/020858956,,,,,,
232,St Mary's Hospital,"Sunyani-Sampa Rd, Drobo",,"Sunyani-Sampa Rd, Drobo",BI-0000-8523,Market Area,Jaman South,Brong Ahafo Region Ghana,Ghana,7.5835815,-2.7854502,4.7,274473112/0246199844/0352094547,+233274473112,,Https://Maps.Google.Com/?Cid=7934946053020367960,Hospital,,
233,Presbyterian Hospital Dormaa,"Berekum - Dormaa Ahenkro Rd, Dormaa Ahenkro",,"Berekum - Dormaa Ahenkro Rd, Dormaa Ahenkro",BD-0002-3446,"Schaeffer Street, Opposite Midwifery Training School",Dormaa,Brong Ahafo Region Ghana,Ghana,7.2763661,-2.868573,4.7,206748566/064822081,,,Https://Maps.Google.Com/?Cid=12235339630951178882,Hospital,,
234,Banda Ahenkro Health Centre,Banda Nkwanta,,,BC-0005-4935,Banda Ahenkro,Banda,Brong Ahafo Region Ghana,Ghana,8.1634553,-2.3603374,5,278959462/0202419243,,Https://En.Wikipedia.Org/Wiki/Banda_Ahenkro,Https://Maps.Google.Com/?Cid=16634314074818604567,Hospital,,
236,"St Luke Hospital, Kasei","Atebubu - Ejura Rd, Kasei","P.O Box KS 1352, Kumasi.",,AJ-1798-9833,Kasei Via Ejura ,Ejura-Sekyedumase,Ashanti Region,Ghana,7.4829301,-1.2801838,,244735679/0246058744,,http://www.lukemissions.org/st-luke-hospital-2/,Https://Maps.Google.Com/?Cid=7833939747577077973,Hospital,,
238,Bechem Government Hospital,"14 Kumasi-Sunyani Rd, Bechem",,Sunyani Road Kumasi,B3-0005-1872,Bechem,Tano South,Brong Ahafo Region Ghana,Ghana,7.0885152,-2.0293731,5,243988683/0208216469,,,Https://Maps.Google.Com/?Cid=13673719197505765510,Hospital,,
239,Careplus Hospital,Kenyase No.1 Ghana,,,BQ-0046-5611,Kenyase No.1,Asutifi North,Brong Ahafo Region Ghana,Ghana,6.9688194,-2.3690081,,200553378/0235553077/0236832581,,http://www.careplusghana.com/home/index.php,Https://Maps.Google.Com/?Cid=972101300122184439,Hospital,,
240,St. Theresa's Hospital,"Nkoranza - Ejura Rd, Nkoranza",,,BO-0002-5679,Nkoranza,Nkoranza South,Brong Ahafo Region Ghana,Ghana,7.5705949,-1.7042448,,352046011,,,Https://Maps.Google.Com/?Cid=3878373234237583338,Hospital,,
241,Arms Hospital,"Techiman-Tamale Rd, Techiman",,,BT-0014-4934,Techiman,Techiman,Brong Ahafo Region Ghana,Ghana,7.5911271,-1.9381491,2,247231289,+233247231289,https://armshospital.wordpress.com/,Https://Maps.Google.Com/?Cid=3107963191288459382,Hospital,,
242,Cocoa Clinic Debiso,"Buaku - Yamatwa Rd, Debiso",,,WD-0007-3846,Debiso,Bia West,Western Region Ghana,Ghana,6.659532,-3.0926899,4.5,302966680,,,Https://Maps.Google.Com/?Cid=5715575693167080718,Hospital,,
243,St. John Of God Hospital,"Kumasi-Sunyani Rd, Duayaw Nkwanta","P.O. Box 24, Duayaw Nkwanta ","Kumasi-Sunyani Rd, Duayaw Nkwanta",B2-0002-2223,P.O. Box 24 Duayaw Nkwanta,Tano North,Brong Ahafo Region Ghana,Ghana,7.1762896,-2.0965561,4.5,352091547/0208194626,+233352091547,,Https://Maps.Google.Com/?Cid=14829853767454156871,Hospital,,
244,Cross Care Hospital,Sunyani Ghana,,,BY-0153-2679,Sunyani,Sunyani,Brong Ahafo Region Ghana,Ghana,7.3499024,-2.3524063,5,,,,Https://Maps.Google.Com/?Cid=3525858268108554393,Hospital,,
245,Nadaworoma Health Clinic,"Newtown, Mampong ",P.O Box NT 42,,AM-0003-8651,Mampong,Mampong,Ashanti Region,Ghana,7.0641709,-1.4013181,5,246792858/0208158533,+233246792858,,Https://Maps.Google.Com/?Cid=16520765761651126273,Hospital,,
246,Meduma Clinic & Maternity Home,"23 Mampong Rd, Kumasi",,,AD-105-3509,"Plot 32 Block A Meduma, Kumasi",Kwabre East,Ashanti Region,Ghana,6.7663683,-1.5929358,4.5,204603600,+233204603600,,Https://Maps.Google.Com/?Cid=9095951739986950879,Hospital,,
247,"Methodist Clinic, Aburaso","Agric- Kromoase Road, Kumasi",,"Agric- Kromoase Road, Kumasi",AG-0576-8805,Kwadaso ,Atwima Kwanwoma,Ashanti Region,Ghana,6.6628429,-1.6758616,,208632667/05123086,,,Https://Maps.Google.Com/?Cid=15100643357272275090,Hospital,,
251,Sepe Dote Clinic,Sepe-Buokrom-Doti,,,AS-039-3855,Sepe-Buokrom-Doti,Asokore Mampong,Ashanti Region,Ghana,6.7190038,-1.5792981,4.5,247267738/0208199147,+233247267738,,Https://Maps.Google.Com/?Cid=14270016057956895782,Hospital,,
253,Maakro Community Clinic,"Maakro Agogo, Ghana",,,AH-0759-8277,Along Maakro Agogo Road,Atwima Nwabiagya,Ashanti Region,Ghana,6.6975515,-1.7300479,1,277451290/0322053772,,,Https://Maps.Google.Com/?Cid=16686257142670804453,Hospital,,
254,Bodomase Community Clinic,Kumawu-Agogo Rd,,Kumawu-Agogo Rd,AP-0140-2249,Ghana,Sekyere Afram Plains,Ashanti Region,Ghana,6.8895815,-1.2521608,4,,,,Https://Maps.Google.Com/?Cid=8463642413872295431,Hospital,,
256,Donkorkrom Presbyterian Hospital,"Donkorkrom - Kpandu Rd, Donkorkrom",,"Donkorkrom - Kpandu Rd, Donkorkrom",EP-0002-8289,Donkorkrom,Kwahu Afram Plains North,Eastern Region,Ghana,7.0487901,-0.0771386,5,244757436/084822037,,,Https://Maps.Google.Com/?Cid=4129377590394823495,Hospital,,
257,KMA Clinic,"103 Old Bekwai Rd, Kumasi",,"Old Bekwai Road, Adum Kumasi",AK-064-6903,,Kumasi,Ashanti Region,Ghana,6.6852171,-1.622823,,244883608,,,Https://Maps.Google.Com/?Cid=10505487273763409723,Hospital,,
258,Magazine Clinic,"139 N8, Bekwai Road, Kumasi",,Bekwai Roundabout ,AK-543-0264,Bekwai Roundabout ,Kumasi,Ashanti Region,Ghana,6.6931064,-1.6359353,3,322025859,+233322025859,,Https://Maps.Google.Com/?Cid=15945625117272927368,Hospital,,
260,"Champion Divine Clinic, Asafo","504 Maxwell Rd, Kumasi",,"Maxwell Road, Kumasi",AK-067-7787,"Neoplan Station, Asafo-Kumasi",Kumasi,Ashanti Region,Ghana,6.6845159,-1.6134962,4.3,244230535,,,Https://Maps.Google.Com/?Cid=18249649666161212338,Hospital,,
261,Kaachire Clinic,"Okomfo Alhaji Abass - Atimatim Maase Rd, Kumasi",,Okomfo Alhaji Abass - Atimatim Maase Road Kumasi,AD-144-2684,,Kwabre East,Ashanti Region,Ghana,6.7697749,-1.5978187,4.7,244647084,+233244647084,,Https://Maps.Google.Com/?Cid=1789329528940634603,Hospital,,
262,Grace Krapeanam Maternity Home/Clinic,"139 Otumfo Osei Tutu II Blvd, Kumasi",,,AK-041-9607,"Ejisu Juaben Road/Behind Queen Mother's House, Fanti New Town, Kumasi",Kumasi,Ashanti Region,Ghana,6.6899064,-1.6081486,,244586499,,,Https://Maps.Google.Com/?Cid=14890924316092196765,Hospital,,
264,Central Kasoa Clinic (Nyanyano Annex),Kasoa-Bawjiase Road,,,,Kasoa,,Central Region Ghana,Ghana,5.4846052,-0.4201848,2,260579395/0208130335/0302862767/0302862768,+233260579395,http://ckc.com.gh/about-us/,Https://Maps.Google.Com/?Cid=1021879868736883578,Hospital,,
265,Kasoa Central Clinic,Kasoa Ghana,,,,Kasoa,,Central Region Ghana,Ghana,5.5406675,-0.4282524,,505555111,+233505555111,,Https://Maps.Google.Com/?Cid=15812044509614403413,Hospital,,
266,Lucky Herbal Clinic,Gomoa Ouaagkrom Ghana,,,CG-0635-0653,Gomoa Ouaagkrom,Gomoa East,Central Region Ghana,Ghana,5.4426406,-0.6734276,,243201244/0277465856/0546835490,+233243201244,https://www.luckyherbalclinic.co/departments/,Https://Maps.Google.Com/?Cid=10848168103627446683,Hospital,,
267,Kokrobite Community Clinic,Kokrobite-Tuba Road,,Kokrobite-Tuba Road,GS-0761-5869,Ghana,Ga South,Greater Accra Region,Ghana,5.5018844,-0.3701686,,243364344,,,Https://Maps.Google.Com/?Cid=16059287923921890441,Hospital,,
272,"Dr Mensah Herbal Clinic, Kasoa","Kasoa New Market Rd, Kasoa",,"Kasoa New Market Rd, Kasoa",CX-021-7836,"Kasoa New Market Rd, Kasoa",Awutu Senya East,Central Region Ghana,Ghana,5.5453526,-0.4321441,,271173551,+233271173551,,Https://Maps.Google.Com/?Cid=4001670446610710427,Hospital,,
,"Dr Mensah Herbal Clinic, Sunyani","36 N12, Sunyani",,,BS-0003-8356,,Sunyani,Brong Ahafo Region Ghana,,7.339872,-2.327385,,,,,,,,
,"Dr Mensah Herbal Clinic, Madina","Legon E Rd, Madina",,,GM-016-4642,,La Nkwantanang-Madina,Greater Accra Region,,5.680565,-0.17309,,,,,,,,
273,Ankaful Psychiatric Hospital,Ankaful Road Cape Coast Central Ghana,,Ankaful Road Cape Coast Central,CK-0507-3665,Ankaful,Komenda Edina Eguafo,Central Region Ghana,Ghana,5.155049,-1.323394,5,231882524/0208297872/0243256909,+233231882524,Https://Ankafulpsychiatrichospital.Org/,Https://Maps.Google.Com/?Cid=16047835595946189549,Hospital,,
277,Saint Joseph Clinic,"Ahmadiyya St, Agona Swedru",,"Ahmadiyya St, Agona Swedru",CO-0013-9195,Agona Swedru,Agona West,Central Region Ghana,Ghana,5.5230813,-0.7007489,5,,,,Https://Maps.Google.Com/?Cid=15370053820374656731,Hospital,,
278,German Broni Clinic,"Winneba - Akim Oda Rd, Akroso",,"Winneba - Akim Oda Rd, Akroso",EB-2052-1834,Akroso,Birim Central,Eastern Region,Ghana,5.765644,-0.762755,,,,,Https://Maps.Google.Com/?Cid=4471994333170710535,Hospital,,
,Egon German Clinic,"108 Yiyiwa Dr, Accra",,"Abelemkpe St, Accra",GA-124-3028,Abelemkpe,Accra,Greater Accra Region,,5.612485,-0.214236,3.2,302775772,,,,,,
282,Kasoa Health Center,"Mankessim - Accra Rd, Kasoa",,"Mankessim - Accra Rd, Kasoa",CX-000-0078,Kasoa,Awutu Senya East,Central Region Ghana,Ghana,5.5337859,-0.4266858,3.8,332193906/0243381500/0244663333,+233332193906,Http://Www.Ghanahealthservice.Org/,Https://Maps.Google.Com/?Cid=919506076998997200,Hospital,,
289,Samalla Clinic Ltd.,338 New Gbawe Road,,New Gbawe Road,GS-0141-2246,Gbawe,Ga South,Greater Accra Region,Ghana,5.5773686,-0.3000627,4.5,302910056,+233302910056,http://www.samallaclinic.com/,Https://Maps.Google.Com/?Cid=1942644855292317193,Hospital,,
